{'user_id': 154930, 'order_hour_of_day': 0, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2837095, 'order_dow': 'sunday'}
{'user_id': 69516, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1227362, 'order_dow': 'sunday'}
{'user_id': 175657, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1437881, 'order_dow': 'sunday'}
{'user_id': 12219, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 317235, 'order_dow': 'sunday'}
{'user_id': 34903, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1725292, 'order_dow': 'sunday'}
{'user_id': 44290, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3355588, 'order_dow': 'sunday'}
{'user_id': 95099, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3216385, 'order_dow': 'sunday'}
{'user_id': 178177, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1985764, 'order_dow': 'sunday'}
{'user_id': 76258, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2260370, 'order_dow': 'sunday'}
{'user_id': 96725, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1174506, 'order_dow': 'sunday'}
{'user_id': 47190, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 187254, 'order_dow': 'sunday'}
{'user_id': 13012, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 560866, 'order_dow': 'sunday'}
{'user_id': 177795, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1931795, 'order_dow': 'sunday'}
{'user_id': 71345, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1853328, 'order_dow': 'sunday'}
{'user_id': 178764, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2836070, 'order_dow': 'sunday'}
{'user_id': 8802, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2667736, 'order_dow': 'sunday'}
{'user_id': 63459, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2735094, 'order_dow': 'sunday'}
{'user_id': 157321, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2860675, 'order_dow': 'sunday'}
{'user_id': 28151, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2976921, 'order_dow': 'sunday'}
{'user_id': 142218, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1472849, 'order_dow': 'sunday'}
{'user_id': 60911, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 471431, 'order_dow': 'sunday'}
{'user_id': 166147, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 811287, 'order_dow': 'sunday'}
{'user_id': 6324, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 629137, 'order_dow': 'sunday'}
{'user_id': 35710, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2023065, 'order_dow': 'sunday'}
{'user_id': 182485, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2503392, 'order_dow': 'sunday'}
{'user_id': 134664, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2091234, 'order_dow': 'sunday'}
{'user_id': 27072, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1152036, 'order_dow': 'sunday'}
{'user_id': 65014, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1989287, 'order_dow': 'sunday'}
{'user_id': 15487, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 704094, 'order_dow': 'sunday'}
{'user_id': 13371, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1897227, 'order_dow': 'sunday'}
{'user_id': 100846, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 686895, 'order_dow': 'sunday'}
{'user_id': 175481, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2943439, 'order_dow': 'sunday'}
{'user_id': 64004, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2775854, 'order_dow': 'sunday'}
{'user_id': 151674, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 113579, 'order_dow': 'sunday'}
{'user_id': 26890, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3929, 'order_dow': 'sunday'}
{'user_id': 33092, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2043850, 'order_dow': 'sunday'}
{'user_id': 182174, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2231188, 'order_dow': 'sunday'}
{'user_id': 92404, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 828104, 'order_dow': 'sunday'}
{'user_id': 112042, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1249222, 'order_dow': 'sunday'}
{'user_id': 84026, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2725227, 'order_dow': 'sunday'}
{'user_id': 177689, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2886371, 'order_dow': 'sunday'}
{'user_id': 93835, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2268068, 'order_dow': 'sunday'}
{'user_id': 39056, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3211029, 'order_dow': 'sunday'}
